,Whats the most enjoyable part of using Shwoop?
Journey,9
Challenges,16
Prizes,59
Live Events,5
,How did you hear about us?
Social Media,30
My friends,50
Lecture bash,44
Morph Suit/Shwoopian,15
Leaflet/Business card,6
,What's your level of socialisation? All data is anonymized.
Very Introverted,8
Kinda Extroverted,26
In the middle,47
A little introverted,25
Really Extroverted,10
,What made you bring a friend?
Prizes,82
Challenges,37
Riddles,10
N/A,17
Live Events,6
,Which event would you like us to run?
Game Show,37
Food competition,41
Amazing Race,66
Riff Off,7
,How do you shwoop?
With my friends,101
Solo,50
Mixed,21
With my classmates,2
,What's the most enjoyable part of using Shwoop?
Challenges,15
Prizes,55
Live Events,3
Journey,4
,How many of your friends have recommended Shwoop to you?
1,22
2,20
4+,33
3,6
0,9
,When do you like to consume Red Bull the most?
On a night out,1
When driving,1
When studying,1
